No,Title,Maker,Catalog_No,Release_date,Genre,Proper_price,yomi_ja,PRG-ROM,CHR-ROM,MAP,Memory,Serial_number,Rarity,Memo
510,ファリア 封印の剣,ハイスコアメディアワーク,HSS-FA,1989/7/21,RPG,6200,ふぁりあ ふういんのけん,128K,128K,1,yes,,,
511,究極ハリキリスタジアム平成元年版,タイトー,TFC-KHH-6800,1989/7/21,SPT,6800,きゅうきょくはりきりすたじあむへいせいがんねんばん,128K,256K,82,yes,25,,
512,全米プロバスケット,ビック東海,VIC-A2,1989/7/21,SPT,5800,ぜんべいぷろばすけっと,128K,128K,1,no,,,
513,パーフェクト ボウリング,トンキンハウス,TKS-G8,1989/7/25,SPT,5500,ぱーふぇくと ぼうりんぐ,128K,32K,1,no,,,
514,MOTHER(マザー),任天堂,HVC-MX,1989/7/25,RPG,6500,まざー,256K,128K,4,yes,,,
515,美味しんぼ 究極のメニュー三本勝負,バンダイ,SHI-OS,1989/7/25,ADV,5800,おいしんぼ きゅうきょくのめにゅーさんぼんしょうぶ,128K,128K,1,no,,,
516,ファミスタ’89開幕版,ナムコ,-,1989/7/28,SPT,4900,ふぁみすた’89かいまくばん,128K,64K,4,no,,,
517,スプラッターハウス わんぱくグラフィティ,ナムコ,-,1989/7/31,ACT,4900,すぷらったーはうす わんぱくぐらふぃてぃ,128K,128K,19,no,,,
518,コズミックウォーズ,コナミ,KDS-CJ,1989/8/4,SLG,6500,こずみっくうぉーず,128K,128K,1,yes,,,
519,究極タイガー,CBSソニー,CBS-QT/58-FR-3,1989/8/4,SHT,5900,きゅうきょくたいがー,128K,128K,4,no,,,
520,燃えるお兄さん,東宝,THF-M7,1989/8/8,ACT,5800,もえるおにいさん,128K,128K,1,no,,,
521,名門第三野球部,バンダイ,?,1989/8/8,SPT,5800,めいもんだいさんやきゅうぶ,128K,128K,16,no,,,
522,ムーランルージュ戦記 メルヴィルの炎,学習研究社,GAT-M6,1989/8/11,SLG,5900,むーらんるーじゅせんき めるう゛ぃるのほのお,128K,128K,1,yes,,,
523,武田信玄2 スーパー戦国シュミレーションゲーム,ホットビィ,GAM-23-05,1989/8/21,SLG,6800,たけだしんげん2 すーぱーせんごくしゅみれーしょんげーむ,256K,0K,1,yes,,,
524,キャプテンED （えど）,CBSソニー,CBS-ED/59-FR-5,1989/8/24,SHT,5900,きゃぷてんED （えど）,256K,0K,1,no,,,
525,レーサーミニ四駆 ジャパンカップ,コナミ,RC842,1989/8/25,RAC,5900,れーさーみによんく じゃぱんかっぷ,128K,128K,25,no,,,
526,ロボコップ,データイースト,DFC-2C,1989/8/25,ACT,5800,ろぼこっぷ,128K,128K,4,no,,,
527,激闘プロレス！！闘魂伝説,テクモ,TCF-PZ,1989/9/1,ACT,5800,げきとうぷろれす！！とうこんでんせつ,128K,128K,1,no,8,,
528,アイドル八犬伝,トーワチキ,TCC-I8,1989/9/14,ADV,6000,あいどるはっけんでん,128K,128K,1,no,,B,
529,谷川浩司の将棋指南Ⅲ,ポニーキャニオン,R58V5921(PNF-T3),1989/9/14,TAB,5800,たにがわこうじのしょうぎしなんⅢ,128K,0K,1,yes,,,
530,マルサの女,カプコン,CAP-FM,1989/9/19,ADV,5900,まるさのおんな,128K,128K,1,no,,,
531,ウルティマ 聖者への道,ポニーキャニオン,R59V5922(PNF-U5),1989/9/20,RPG,5900,うるてぃま せいじゃへのみち,256K,0K,1,yes,,,
532,中華大仙,タイトー,DTF-CW,1989/9/22,SHT,5800,ちゅうかだいせん,128K,128K,1,no,27,,
533,アメリカンドリーム (AMERICAN DREAM),ココナッツジャパン,CDS-A7,1989/9/23,TAB,5900,あめりかんどりーむ (AMERICAN DREAM),128K,128K,1,no,,,
534,サンダーバード,パックインビデオ,PAC-T5,1989/9/29,SHT,5500,さんだーばーど,128K,128K,1,no,,,
535,ツインビー3 ポコポコ大魔王,コナミ,RC841,1989/9/29,SHT,5500,ついんびー3 ぽこぽこだいまおう,128K,128K,22,no,,,
536,マハラジャ,サンソフト,-,1989/9/29,ADV,6200,まはらじゃ,128K,128K,68,yes,,,
537,悪魔の招待状,ケムコ,KSC-UV,1989/9/29,ADV,6200,あくまのしょうたいじょう,128K,128K,4,yes,,,
538,明治維新,ユース,USE-NC,1989/9/29,RPG,6200,めいじいしん,256K,0K,1,yes,,,
539,落っことしパズルとんじゃん,ジャレコ,NMK-JT,1989/9/29,PZL,5600,おちっことしぱずるとんじゃん,128K,128K,1,no,,,
540,甲子園,ケイアミューズメントリース,KAC-KO,1989/10/6,SPT,5900,こうしえん,128K,128K,1,no,,,
541,ワールドスーパーテニス,アスミック,ASM-W1,1989/10/13,SPT,5900,わーるどすーぱーてにす,128K,128K,1,no,,,
542,ヴィナス戦記,バリエ,VRE-R2,1989/10/14,SLG,5800,う゛ぃなすせんき,128K,128K,1,no,,,
543,北斗の拳3 新世紀創造 凄拳列伝,東映動画,TDF-K3,1989/10/19,RPG,6200,ほくとのけん3 しんせいきそうぞう すごけんれつでん,256K,0K,1,yes,,,
544,ソフトボール天国,トンキンハウス,TKS-GS,1989/10/27,SPT,5800,そふとぼーるてんごく,128K,128K,1,no,,,
545,ドラゴンボール3 悟空伝,バンダイ,?,1989/10/27,RPG,6800,どらごんぼーる3 ごくうでん,128K,256K,16,no,,,
546,メジャーリーグ,アイレム,IF-13,1989/10/27,SPT,6000,めじゃーりーぐ,128K,128K,32,no,13,,
547,超人ウルトラベースボール,カルチャーブレーン,CBF-UB,1989/10/27,SPT,6500,ちょうじんうるとらべーすぼーる,128K,128K,1,yes,,,
548,田代まさしのプリンセスがいっぱい,エピックソニー,ESF-PO,1989/10/27,ACT,5500,たしろまさしのぷりんせすがいっぱい,128K,128K,1,no,,,
549,麻雀大会,光栄,KOE-IQ,1989/10/31,TAB,7800,まーじゃんたいかい,128K,0K,1,yes,,,
550,御存知弥次喜多珍道中,HAL研究所,HAL-YJ,1989/11/7,ADV,6800,ごぞんじやじきたちんどうちゅう,256K,128K,1,no,,,
551,U．S．チャンピオンシップ V’BALL,テクノスジャパン,TJC-VJ,1989/11/10,SPT,5900,ゆーえすちゃんぴおんしっぷ,128K,128K,4,no,,,
552,ダンジョン＆マジック SWORDS OF ELEMENT(ソード オブ エレメント),ナツメ,NAT-DM,1989/11/10,RPG,6500,だんじょん＆まじっく SWORDS OF ELEMENT(そーど おぶ えれめんと),128K,128K,1,yes,,,
553,激突四駆バトル,アイレム,IF-15,1989/11/17,RAC,4800,げきとつよんくばとる,128K,0K,2,no,15,,
554,忍者COP サイゾウ,九娯貿易,KYG-NX,1989/11/17,ACT,5900,にんじゃCOP さいぞう,128K,128K,1,no,,,
555,コズミック イプシロン,アスミック,ASM-EO,1989/11/24,SHT,6500,こずみっく いぷしろん,128K,256K,4,no,,,
556,ベガスコネクション カジノより愛をこめて,シグマ商事,SEI-1B,1989/11/24,TAB,9600,べがすこねくしょん かじのよりあいをこめて,256K,0K,1,yes,,,
557,寺尾のどすこい大相撲,ジャレコ,JF-24,1989/11/24,ACT,5900,てらおのどすこいおおずもう,128K,128K,18,no,,,
558,ゴルフッ子オープン,タイトー,TFC-GO-5900,1989/11/25,SPT,5900,ごるふっごおーぷん,128K,256K,33,no,26,,
559,スクウェアのトムソーヤ,スクウェア,SQF-T4,1989/11/30,RPG,6500,すくうぇあのとむそーや,256K,0K,1,yes,,,
560,コンフリクト,ビック東海,VIC-C3,1989/12/1,SLG,6200,こんふりくと,128K,128K,1,yes,,,
561,TAO(タオ) 道,バップ,VAP-BY(9505),1989/12/1,RPG,5500,たお,128K,128K,1,yes,,,
562,ホステージ,ケムコ,KSC-HZ,1989/12/1,ACT,5900,ほすてーじ,128K,128K,1,no,,,
563,未来戦史ライオス,パックインビデオ,PAC-R6,1989/12/1,SLG,6300,みらいせんしらいおす,256K,0K,1,yes,,,
564,おそ松くん バックトゥザミーの出っ歯の巻,バンダイ,SHI-OB,1989/12/8,ADV,5800,おそまつくん ばっくとぅざみーのでっぱのまき,128K,128K,1,no,,,
565,スーパーモグラたたき ぽっくんモグラー,アイジーエス,IGS-X1,1989/12/8,ACT,6900,すーぱーもぐらたたき ぽっくんもぐらー,32K,32K,3,no,,,対[マット]
566,タイトーチェイスH．Q．,タイトー,DTF-H9,1989/12/8,RAC,5900,たいとーちぇいすH．Q．,128K,128K,4,no,28,,
